FACILITY_ID,ClassCount
ONLINE,5011
OFFCAMPUS,246
BBC021,77
MH424,63
MUS150,58
ENG189,55
DH311,55
BBC022,52
SCI142,48
MH324,48
CL310,48
MH423,47
YUH208,44
MH224,44
YUH126,43
DMH227,43
YUH233,42
YUH124,42
HGH124,41
CL226,41
YUH106,40
SPXE178,40
ENG345,40
DH216,40
CL202,40
WSQ207,39
MH320,39
SPXC107A,37
ENG232,37
ISB540,36
IS119,36
ENG340,36
ENG301,36
BBC222,36
BBC220,36
BBC107,36
WSQ111,35
DMH166,35
BBC003,35
ENG337,34
ENG331,34
ENG325,34
DMH226B,34
BBC105,34
SPXE163,33
SH241,33
ENG329,33
CL117,33
SH346,32
MUS182,32
MUS176,32
MH323,32
MH225,32
ENG388,32
ENG343,32
BBC324,32
BBC205,32
SPXC107B,31
SH434,31
ENG490,31
BBC226,31
BBC108,31
BBC106,31
BBC103,31
SH229,30
ENG333,30
CL306,30
BBC326,30
MH222,29
BBC102,29
SPXE172,28
SPXC151,28
SH335,28
MH422,28
HB207,28
ENG339,28
ENG303,28
DMH160,28
BBC320,28
BBC104,28
SH312,27
SCI164,27
IS117,27
ENG341,27
DMH208,27
DMH167,27
DH450,27
CL302,27
CL224,27
BBC225,27
BBC125,27
YUH243,26
YUH236,26
WSQ106,26
SH431,26
SH242,26
SH230,26
DH351,26
DH250,26
CL234,26
WSQ109,25
SPXE180,25
SH334,25
MH523,25
IS216,25
HGH223,25
ENG407,25
DMH348,25
DMH231,25
DMH164,25
DMH149A,25
CL204,25
BBC322,25
BBC201,25
SH120,24
MH322,24
MH223,24
ENG125,24
DMH234,24
DMH226A,24
DMH165,24
DMH163,24
DMH149B,24
DH601,24
DH135,24
CCB102,24
BBC224,24
BBC204,24
BBC128,24
BBC124,24
ART135,24
SH413,23
SH411,23
SH348,23
SH240,23
SH231,23
SCI311,23
MH233,23
ENG395,23
ENG327,23
ENG103,23
DMH358,23
DMH355,23
DMH161,23
DH412,23
DH303,23
CL238,23
CCB210,23
BBC304,23
WSQ201,22
SPXC153,22
SH347,22
MH520,22
IS227,22
ENG401,22
ENG393,22
ENG392,22
ENG335,22
ENG221,22
ENG213,22
DMH356,22
DMH150,22
DH506,22
DH243,22
CL324,22
CCB122,22
BBC130,22
SPXC234,21
MH234,21
ISB878,21
ISB782,21
DH415,21
DH350,21
DH031,21
CL316,21
CL225B,21
CL216,21
BBC202,21
SH449,20
SH448,20
SH345,20
SH311,20
ISB784,20
HGH226,20
HGH225,20
HB106,20
ENG394,20
DMH353,20
DH507,20
DBH117D,20
CCB101,20
BBC305,20
BBC203,20
SH315,19
SH100,19
SCI321,19
SCI313,19
MUS266,19
MH235,19
ISB876,19
ISB538,19
IS230,19
HGH118,19
HB407,19
ENG391,19
DH448,19
DH318,19
DH245,19
CL225A,19
CL205,19
BBC321,19
BBC221,19
BBC122,19
WSQ004,18
WSQ001E,18
WSQ001D,18
SH435,18
SH433,18
SH238,18
SH211,18
SCI253,18
MH425,18
MH332,18
MD101,18
HGH229,18
HGH219,18
HB311,18
ENG403,18
ENG134,18
DMH357,18
DMH347,18
DMH308,18
DH614,18
DH441,18
DBH202,18
CL308,18
CL303B,18
CL303A,18
CL243,18
CL222,18
BBC123,18
BBC121,18
BBC004,18
WSQ113,17
SH444,17
SH314,17
HGH217,17
HGH116,17
HB206,17
DMH359,17
DH416,17
CCB115,17
BBC223,17
BBC120,17
SPXC152,16
SH239,16
MUS160,16
HGH120,16
DMH354,16
ART222,16
YUH128,15
WSQ204,15
SH414,15
SH212,15
SCI258,15
SCI241,15
SCI131,15
ISB870,15
ISB240,15
ENG133,15
ENG105,15
DMH162,15
CCB209,15
ART314,15
ART224,15
ART212,15
ART206,15
ART133,15
SCI319,14
SCI307,14
IS241,14
IS215,14
HGH103,14
ENG288,14
DH341,14
DBH225,14
BBC323,14
BBC302,14
ART218,14
ART103,14
MUS161,13
HGH122,13
ENG405,13
ENG286,13
DH647,13
DH515,13
DH443,13
DH337,13
DH218,13
DBH222,13
BBC126,13
ART243,13
WSQ001C,12
WSQ001B,12
SH313,12
RHV135,12
MUS250,12
IS118,12
HGH231,12
ENG492,12
ENG307,12
ENG135,12
DH645,12
DH509,12
CL318,12
SCI305,11
ISB786,11
IS133,11
ENG249,11
ENG113,11
DH345,11
DBH133,11
ART205,11
ART203,11
ART201,11
ART110,11
SCI242,10
SCI133,10
ISB236,10
IS240,10
IS115,10
HGH114,10
ENG258,10
ENG209,10
ENG132,10
DH649,10
DH544,10
DH344,10
CL218,10
BBC301,10
ART216,10
MUS210,9
MH526,9
HB405,9
ENG290,9
ENG206,9
ENG164,9
DH410,9
DH246,9
CL111,9
ART312,9
ART304,9
WSQ001,8
SCI251,8
MUS211,8
IS219C,8
IS165,8
IS124,8
HGH227,8
HB408,8
FO104,8
ENG305,8
ENG192,8
ENG150,8
DMH236,8
DH641,8
DH615,8
DH316,8
DH306,8
CL242,8
CCB118,8
ART241,8
ART237,8
ART108,8
AF001,8
SH412,7
SH213,7
RHV120,7
IS226,7
IS219,7
IS114,7
DMH339,7
DH643,7
DH609,7
DH552,7
DH413,7
DH208,7
CL206,7
ART310,7
WSQ115,6
SUALLEY,6
SPXE160,6
SCI247,6
SCI233,6
SCCOURTS,6
MUS108,6
ISB542,6
ISB234,6
ENG489,6
ENG268,6
ENG238,6
DH352,6
DBH209,6
ART141,6
WSQ208,5
WSQ117,5
MUS186,5
ISB736,5
ISB636,5
IS235,5
ENG244,5
ENG131,5
DH640,5
DH406,5
DH210,5
DBH221,5
CCB222,5
ART306,5
SPXC231,4
SPXC216,4
SH117O,4
SH112,4
SCI320,4
SCI237,4
MUS124,4
ISB788,4
ISB536,4
ISB340,4
ISB338,4
IS166,4
HGH136C,4
HB102,4
GOLFRANGE,4
ENG387,4
ENG386,4
ENG319,4
ENG295,4
ENG291,4
ENG205,4
DH549,4
DH440,4
DH407,4
DBH228,4
DBH209B,4
CCB125,4
ART301,4
ART105,4
WSQGRDN,3
OFFSITE,3
ISB874,3
ISB872,3
ENG389,3
ENG289,3
ENG115,3
DH611,3
DH505,3
DH221,3
DBH224,3
ART210,3
WSQ211,2
SH410,2
SCI326,2
RHV110,2
MUS226,2
MUS157,2
ISB640,2
IS121,2
HB301,2
ENG376,2
ENG321,2
ENG317,2
ENG278,2
ENG141,2
ENG109,2
DH035,2
DBH209I,2
CCB216,2
ART309,2
SH332,1
SH331,1
SCI038,1
MUS163,1
ISB734,1
IS132,1
HGH221,1
HB202,1
ENG233C,1
ENG223,1
ENG101,1
DH801,1
DH309,1
DH010,1
ART307,1
