Manager,Manager (for non Uni Rooms),"Dept ""Owner""",Dept Name,"BLDG &
RM #",Room Type,College Managed Useable Space,Ad Astra Seats,MB CAP,"ROOM SIZE
Small-under 40
Medum-41-89
Large-90-120
X-Large-over 120",SFDB CAP,Classroom Furniture,Faculty Furniture,Room Control Systems (tech that controls the room),"Room Standards (HDMI, Video, Etc.)",Room Elements (Technology in the Room),IMS Supported
Other,OFF CAMPUS FACILITY,,,AF001,NCLS,FALSE,24,,Small,,,,,,,
Other,H&A,1537,Design,ART103,LAB,FALSE,24,24,Small,24,Tables & Chairs ,,"SP black: small, large. rack",Expanded with HDMI & VGA + Audio,Voice Amplification & DVD Player,Pending
Other,H&A,1025,Art & Art History,ART105,LCTR,FALSE,20,20,Small,20,Tables & Chairs ,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART108,LAB,FALSE,24,24,Small,26,Fixed Tables with Movable Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1025,Art & Art History,ART110,CLEC,TRUE,35,0,Small,0,Tables & Chairs,,,,,Pending
Other,H&A,1025,Art & Art History,ART110A,LAB,FALSE,15,6,Small,0,Tables & Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART133,CLEC,TRUE,70,70,Medium,70,Fixed Seating,,"SP black: small, large. rack",Expanded with HDMI & VGA + Audio,"Voice Amplification, Projector: Panasonic 530. DVD/VCR: Panasonic, Stereo Speakers, Mics: Shure",Yes
Other,H&A,1025,Art & Art History,ART135,CLEC,TRUE,55,40,Medium,50,Tables & Chairs,,,,,Pending
Other,H&A,1025,Art & Art History,ART141,CLEC,TRUE,25,25,Small,24,Tables & Chairs,,"SP black: small, large. rack",Expanded with HDMI & VGA + Audio,"Voice Amplification, Projector (Ceiling or Wall mount/ No Controller), & DVD Player",Pending
Other,H&A,1537,Design,ART201,LAB,FALSE,N/A,15,,25,N/A,Tables & Chairs,N/A,N/A,N/A,N/A
Other,H&A,1537,Design,ART201,LAB,FALSE,25,25,Small,25,Tables & Chairs,,Pixie Plus white soft button panel,,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART203,LAB,FALSE,25,25,Small,25,Tables & Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART205,LAB,FALSE,25,25,Small,25,Tables & Chairs,,"Short Throw on Cart, not our projector						",Basic - (No HDMI) VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART206,LAB,FALSE,25,25,Small,15,Tables & Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop",Pending
Other,H&A,1025,Art & Art History,ART210,LAB,FALSE,N/A,15,,24,N/A,Lab/Tech Workstation,N/A,N/A,N/A,N/A
Other,H&A,1025,Art & Art History,ART210,LAB,FALSE,24,24,Small,24,Tables & Chairs,,,,In Room Computer or Laptop,Pending
Other,H&A,1537,Design,ART212,CLEC,TRUE,25,25,Small,25,Tables & Chairs,,Manufacturer's Remote            ,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop",Pending
Other,H&A,1537,Design,ART212,LAB,FALSE,N/A,15,,25,N/A,Lab/Tech Workstation,N/A,N/A,N/A,N/A
Other,H&A,1537,Design,ART216,CLEC,TRUE,25,25,Small,25,Tables & Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART218,LAB,FALSE,25,25,Small,25,Tables & Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1537,Design,ART222,LAB,FALSE,25,25,Small,20,Fixed Tables with Movable Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop",Pending
Other,H&A,1537,Design,ART224,LAB,FALSE,25,25,Small,20,Fixed Tables with Movable Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop",Pending
Other,H&A,1025,Art & Art History,ART237,LAB,FALSE,25,25,Small,24,Tables & Chairs,,"SP black: small, large. rack",Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop, & DVD Player.                                                  ",Pending
Other,H&A,1537,Design,ART241,LAB,FALSE,25,25,Small,24,Tables & Chairs,,Manufacturer's Remote            ,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop, & DVD Player.                                                  ",Pending
Other,H&A,1025,Art & Art History,ART241,LAB,FALSE,N/A,9,,24,N/A,Lab/Tech Workstation,N/A,N/A,N/A,N/A
Other,H&A,1537,Design,ART243,CLEC,TRUE,25,25,Small,25,Tables & Chairs,,Manufacturer's Remote            ,Expanded with HDMI & VGA + Audio,"Projector (Ceiling or Wall mount/ No Controller), In Room Computer or Laptop",Pending
Other,H&A,1025,Art & Art History,ART301,LAB,FALSE,24,15,Small,18,Fixed Tables with Movable Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART304,RLAB,FALSE,N/A,10,,10,N/A,Built-in Workstation,N/A,N/A,N/A,N/A
Other,H&A,1025,Art & Art History,ART304,RLAB,FALSE,24,10,Small,10,Tables & Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART306,LAB,FALSE,24,16,Small,20,Tables & Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART307,LAB,FALSE,20,13,Small,15,Tables & Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART309,LAB,FALSE,24,15,Small,15,Fixed Tables with Movable Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART310,LAB,FALSE,N/A,17,,20,N/A,Lab/Tech Workstation,N/A,N/A,N/A,N/A
Other,H&A,1025,Art & Art History,ART310,LAB,FALSE,24,17,Small,20,Tables & Chairs,,,,,No
Other,H&A,1025,Art & Art History,ART312,LAB,FALSE,24,19,Small,20,Tables & Chairs,,,,,No
Other,H&A,1537,Design,ART314,LAB,FALSE,25,25,Small,25,Tables & Chairs,,Pixie Plus white soft button panel,Expanded with HDMI & VGA + Audio,Projector (Ceiling or Wall mount/ No Controller),Pending
Other,H&A,1025,Art & Art History,ART337,LAB,FALSE,N/A,20,,20,N/A,Lab/Tech Workstation,N/A,N/A,N/A,N/A
Other,H&A,1025,Art & Art History,ART337,LAB,FALSE,25,20,Small,20,Tables & Chairs,,,,,No
University Room,UR,UR,University Lecture Room,BBC 121,LCTR,,30,30,Small,30,Tables & Chairs,,Pixie Plus white soft button panel,"Basic - (No HDMI) VGA Projector + Audio, RCA","Projector: Panasonic 430, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC 122,LCTR,,31,31,Small,31,Tables & Chairs,,Pixie Plus white soft button panel,"Basic - (No HDMI) VGA Projector + Audio, RCA","Projector: Panasonic 430, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC001,SMNR,,20,0,Small,24,Tables & Chairs,,Wallbox,Basic - No HDMI,DVD Player,Yes
University Room,UR,UR,University Lecture Room,BBC002,SMNR,,20,0,Small,24,Tables & Chairs,,Wallbox,Basic - No HDMI,DVD Player,Yes
University Room,UR,UR,University Lecture Room,BBC003,LCTR,,50,50,Medium,50,Fixed Tables with Movable Chairs,,"SP black: small, large. rack ",BASIC - (No HDMI) - VGA Projector + Audio,"Projector: Panasonic, DVD/VCR: Panasonic
Doc Cam: Samsung, Stereo Speakers: JBL, Amp: Samson",Yes
University Room,UR,UR,University Lecture Room,BBC004,LCTR,,110,110,Large,110,Fixed Seating,,(Wallbox - N) + (SP Touch - R),Expanded with HDMI + VGA,"Voice Amplification, Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Samsung, Stereo Speakers: JBL, Amp: Samson, Mics: Shure (Handheld & Lav)",Yes
University Room,UR,UR,University Lecture Room,BBC021,LCTR,,50,50,Medium,50,Fixed Seating,,"SP black: small, large. rack ","Expanded with HDMI + VGA, RCA Connection",Document Camera & DVD Player,Yes
University Room,UR,UR,University Lecture Room,BBC022,LCTR,,50,50,Medium,50,Fixed Seating,,"SP black: small, large. rack ",Expanded with HDMI (Audio) + VGA,"Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Lumens, Stereo Speakers: JBL, Amp: Samson",Yes
Other,BUS,1117,College of Business,BBC032,CONF,FALSE,50,94,Large,120,Tables & Chairs,,Utelogy,Video Teleconf (incl HDMI [ +VGA]),"Computer: Dell/ThinClient, TV: SHARP Qty3, Doc Cam: Lumens, Cameras: Video Conferencing Qty3, Stereo Speakers: TV, Microphones: Video, Conferenencing Ceiling Mics",Yes
University Room,UR,UR,University Lecture Room,BBC102,LCTR,,60,60,Medium,60,Fixed Seating,,"SP black: small, large. rack ",Expanded with HDMI + VGA,"Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Lumens, Stereo Speakers: JBL, Amp: Samson",Yes
University Room,UR,UR,University Lecture Room,BBC103,LCTR,,50,50,Medium,50,Fixed Seating,,"SP black: small, large. rack ","Basic - (No HDMI) VGA Projector + Audio, RCA","Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Samsung, Stereo, Speakers: JBL, Amp: Samson",Yes
University Room,UR,UR,University Lecture Room,BBC104,LCTR,,60,60,Medium,60,Fixed Seating,,"SP black: small, large. rack ",Expanded with HDMI (Audio) + VGA,"Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Lumens, Stereo Speakers: JBL, Amp: Samson",Yes
University Room,UR,UR,University Lecture Room,BBC105,LCTR,,50,50,Medium,50,Fixed Seating,,Pixie Plus white soft button panel,"Basic - (No HDMI) VGA Projector + Audio, RCA","Projector: Panasonic 530, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC106,LCTR,,60,60,Medium,56,Fixed Seating,,"SP black: small, large. rack ",Expanded HDMI (Audio) + VGA,"Projector: Panasonic 430, DVD/VCR: Panasonic, Doc Cam: Samsung, Stereo Speakers: JBL, Amp: Samsung, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC107,LCTR,,60,60,Medium,45,Fixed Seating,,"SP black: small, large. rack ",Expanded HDMI (Audio) + VGA,"Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Lumens, Stereo Speakers: JBL, Amp: Samson, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC108,LCTR,,60,60,Medium,56,Fixed Seating,,"SP black: small, large. rack ",Expanded HDMI (Audio) + VGA,"Projector: Panasonic 530, DVD/VCR: Panasonic, Doc Cam: Lumens, Stereo Speakers: JBL, Amp: Samson, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC120,LCTR,,40,40,Small,40,Tables & Chairs,,Pixie Plus white soft button panel,"Basic - (No HDMI) VGA Projector + Audio, RCA","Projector: Panasonic 430, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC123,LCTR,,30,30,Small,30,Tables & Chairs,,Pixie Plus white soft button panel,"Expanded with HDMI (Audio) + VGA, RCA","Projector: Panasonic 530, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
University Room,UR,UR,University Lecture Room,BBC124,LCTR,,31,31,Small,31,Tablet Arm Chairs,,Pixie Plus white soft button panel,"Expanded with HDMI (Audio) + VGA, RCA","Projector: Panasonic 530, Stereo Speakers: JBL, Master Volume Wall Knob",Yes
