FACILITY_ID,DESCR,ROOM_CAPACITY
MD101,Introductory Psychology,583
MD101,Intro to Engr,583
MD101,Human Biology,583
MD101,General Chem,583
MD101,Intro Chem,583
MD101,Organic Chem,583
MD101,Gen Chem,583
MD101,General Physics I,583
MUS176,PercEns,500
MUS176,Jazz Improv - I,500
MUS176,GrdPercEns,500
MUS176,ENS: Percuss Ensemble,500
MUS176,ENS: OperaTheater,500
MUS176,ENS: Opera Theater,500
MUS176,GrdOperaThtr,500
MUS176,ENS:UnivSymphOrchest,500
MUS176,ENS: Symphonic Band,500
MUS176,ENS: UnivSymphOrchest,500
MUS176,ENS: Wind Ensemble,500
MUS176,ENS: WindEnsemble,500
MUS176,SymphBand,500
MUS176,GrdUnivSymOrch,500
MUS176,GrdWindEns,500
MUS176,REP:Solo Lit Perf Pract,500
MUS176,Fund Tech Percus,500
SCI142,General Physics III,245
SCI142,Mang Lean Imprvmnt Prgms,245
SCI142,General Physics II,245
SCI142,Human Physiology,245
SCI142,Human Anatomy,245
SCI142,General Physics I,245
SCI142,General Chem,245
SCI142,Master Project I,245
SCI142,Master Project II,245
SCI142,Intro Data Structure,245
SCI142,Organic Chem,245
SCI142,Gen Biochemistry,245
SCI142,Princip of Engr Mgmt,245
SCI142,Biology I,245
SCI142,Intro to Programming,245
SCI142,Biology II,245
SCI142,Intro Programming,245
ENG189,Fund Mechatronic Eng,214
ENG189,Oper Plan & Control,214
ENG189,Experimental Methods,214
ENG189,Sr Design Project II,214
ENG189,Biomed Eng Dsgn Meth,214
ENG189,Heat Transfer,214
ENG189,Sys Simulation,214
ENG189,Intro BioMed,214
ENG189,Svc Sys Engrg & Mgmt,214
ENG189,Snr Design Proj II,214
ENG189,Master Project I,214
ENG189,Master Project II,214
ENG189,Design & Graphics,214
ENG189,Sr Design Project,214
ENG189,Glob/Soc Iss Engr,214
ENG189,Biomed Regs,214
ENG189,Fincl Mthds Engr,214
ENG189,Leading 6Sigma Improvmt,214
ENG189,Senior Project II,214
ENG189,AE Flight Mech,214
ENG189,Comp Applications,214
ENG189,AE ACS Design,214
YUH124,Alternative Cinema,200
YUH124,Art of Film,200
YUH124,Meas & Eval in Kinesiology,200
YUH124,Math in Art/Music,200
YUH124,Biomechanical Asmt of Mvmnt,200
YUH124,General Genetics,200
YUH124,Biomechanics,200
YUH124,Elem Stat,200
YUH124,Intro Advertising,200
YUH124,Heritage and Values,200
YUH124,Lead Ppl & Eff Comms,200
YUH124,Gen Chem,200
YUH124,Team Leadership Fndtls,200
YUH124,Natl Sec & Comm Prep,200
YUH124,Exercise Physiology,200
YUH124,Motor Learning,200
YUH124,General Chem,200
YUH124,Intro to Kinesiology,200
YUH124,Biostatistics,200
WSQ109,Python for Everyone,196
WSQ109,Intro Psychbiology,196
WSQ109,Intro Programming,196
WSQ109,Intro Data Structure,196
WSQ109,Prin of Econ,196
WSQ109,Human Genetics,196
WSQ109,Esntl US History,196
WSQ109,Gen Microbiology,196
WSQ109,Biology I,196
WSQ109,Amer Cultures 1877,196
WSQ109,General Chem,196
WSQ109,Glob/Soc Iss Engr,196
WSQ109,Intro to Programming,196
WSQ109,Int to Dtb Mgt Sys,196
WSQ109,General Genetics,196
WSQ109,Organic Chem,196
WSQ109,Quant Analy,196
WSQ109,Am Cults 1877-Pres,196
WSQ109,Intr Health Policy,196
SPXC216,ENS:Dance Reh/Perf,176
SPXC216,ENS:DancRehrslPerf,176
MUS150,Music Appreciation,160
MUS150,Grad Trombone Choir,160
MUS150,GrdSaxEns,160
MUS150,ENS: Brass Ensemble,160
MUS150,Fund Tech Brass,160
MUS150,GrdUnivChorales,160
MUS150,Univ Chorales,160
MUS150,ENS: UnivChorales,160
MUS150,Guitar Fundamentals,160
MUS150,ENS: Saxophone Ensemble,160
MUS150,Begin Conducting,160
MUS150,GrdBrassEns,160
MUS150,ENS: Choraliers,160
MUS150,ConcertChoir,160
MUS150,ENS: Concert Choir,160
MUS150,Choraliers,160
MUS150,SaxophoneEns,160
MUS150,TromboneEns,160
MUS150,Trombone Ensemble,160
MUS150,GrdChrlrs,160
MUS150,GrdConcChoir,160
MUS150,BrassEns,160
MUS150,PepBand,160
MUS150,Fund Tech Low Str,160
MUS150,New Music Ensemble,160
MUS150,Adv Cond Instr,160
MUS150,ENS: Pep Band,160
MUS150,Worlds of Jazz,160
MUS150,Marching Band Tech,160
MUS150,Jazz Improv - I,160
HGH103,Theatre Apprecia,144
HGH103,KSJS-FM Radio,144
HGH103,Rehearse & Perform,144
HGH103,Directing,144
HGH103,Int Acting,144
HGH103,Acting Career Prep,144
HGH103,Voice & Movement,144
SCI164,Elem Phys,130
SCI164,Human Understanding,130
SCI164,Biostatistics,130
SCI164,Seminar,130
SCI164,Gen Biochemistry,130
SCI164,The Living World,130
SCI164,Hypothesis Testing,130
SCI164,Biology II,130
SCI164,Organic Chem,130
SCI164,General Chem,130
SCI164,Gen Bact,130
SCI164,Gen Chem,130
SCI164,Intro Chem,130
SCI164,Intro Data Structure,130
SCI164,Gen Microbiology,130
SCI164,Fund of Physics,130
SCI164,Programming in Java,130
SCI164,Descript Astronomy,130
SCI164,General Physics III,130
SCI164,General Physics II,130
WSQ207,US & CA Government,125
SH100,Prin of Econ,125
WSQ207,Aerostructures I,125
WSQ207,Comm Action & Serv,125
SH100,Appl Eng Biomech,125
WSQ207,Psych Tests & Meas,125
WSQ207,Prin of Econ,125
WSQ207,Introductory Psychology,125
SH100,Intro Psychbiology,125
WSQ207,Esntl US History,125
SH100,Lifespan Development,125
SH100,Adult Psychopathol,125
SH100,Intro Biochem,125
SH100,Child Development,125
SH100,Biology I,125
SH100,Gen Bact,125
SH100,Ecol Biol,125
SH100,Graphics/CAD/Prog,125
SH100,Int to Dtb Mgt Sys,125
SH100,Python for Everyone,125
WSQ207,Psyc of Childhood,125
SH100,Neuroscience,125
WSQ207,Psych of Prejudice,125
BBC202,Intro to Programming,119
BBC202,Server Web Prog,119
BBC204,Intro to Marketing,119
BBC202,Financial Accounting,119
BBC204,Fund of HR Mgmt,119
